,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
Activated T,0.001499554879998005,0.0,0.0,0.0,0.16058126678842785,4.670794127164733e-05,0.0,0.0,0.0,0.0,0.001065455001515996,0.8125482316300525,0.001874954318501437,0.022121706196566115,0.0002621232436663203
Arterial ECs,0.6895137399522092,0.0,0.0,0.0,0.20535292761081364,0.0,0.0,0.0,0.008281793329456553,0.0,0.004524317625198285,0.026690460856007747,0.04834132696162534,0.0,0.017295433664689264
BEST4+ epithelial,0.0,0.017174157817890032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9828258421821099,0.0,0.0,0.0
Branch A,0.0,0.0,0.07579273644910664,0.030049869344435362,0.0,0.8856707623853423,0.0,0.00652308648820978,0.0,0.0007635950452723556,0.0,0.0011999502876335359,0.0,0.0,0.0
Branch B,0.0,0.00013296924387789792,0.07092886544704888,0.006659508657921708,0.0014110821391090228,0.08646439609936367,0.0,0.8189965958880313,0.0,0.0008045881595406153,0.0,0.0,1.869964773655038e-05,0.00011445056675607011,0.014468844150614241
CLP,0.020504100737775074,0.0,0.0,0.0,0.25669540413890457,0.0,0.0,0.0,0.04778212346927685,0.0,0.1297925162473415,0.0,0.09211508093270915,0.4531107744739929,0.0
Colonocyte,0.0,0.078050175763785,0.0,0.0,0.0,0.0015643389802694875,0.0,0.0,0.0,0.9070701469663415,0.0,0.0,0.0,0.0,0.01331533828960401
Contractile pericyte (PLN+),0.9887387292589201,0.0,0.0027397260009639868,0.0,0.0,0.0007073111378931142,0.0,0.0016281558743466442,0.0,0.0,0.0,0.0,0.0,0.0024438653043384034,0.003742212423537765
Differentiating glia,0.14547712515496447,0.0,0.0,0.02124732092983281,0.2571744216701161,0.0,0.07505073607758739,0.010730129291929838,0.012966783027628307,0.05088563410609702,0.11605611373607688,0.0,0.0,0.25521899637282613,0.05519273963294118
EECs,0.0,0.09317961536935988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32078619611519227,0.0,0.2744252673635422,0.0,0.3116089211519057,0.0
ENS Prog/cycling,0.031039631939919397,0.0,0.11630357283431357,0.6262357686428285,0.0,0.0,0.01552207447671129,0.1538106188016256,0.00472307363779116,4.653396970144815e-05,0.017591555738166516,0.0,0.0,0.0,0.03472716995894268
Enterocyte,7.898344773537426e-05,0.7746136005115888,0.0,0.0,0.005840190303469866,0.0,0.0,0.0,0.0,0.1055282502874736,0.0,0.11197588834919675,0.0,0.0,0.00196308710053572
Epithelial progenitors,0.013409324528229929,0.0,0.0,0.0,0.279746099083557,0.0,0.0,0.0,0.046240674569512946,0.03536247009148484,0.013202985899688604,0.0,0.015111559083485817,0.5969268867440408,0.0
