,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18
Activated T,0.0,0.0,0.0,2.9083107247356055e-05,0.003867412896811739,0.0,0.0,0.023960931562963785,0.000131354016279667,2.9732999229866397e-05,0.8164257648204393,0.0022886356426714714,0.0008029699901299374,0.04042691856886257,0.0,0.0,0.0,0.00010506822101983613,0.11193212817434461
Arterial ECs,0.0,0.0,0.0628544379998189,0.0,0.0,0.028929934262743987,0.0,0.0,0.0,0.0,0.03312982331791509,0.07419996024263688,0.6069344281556999,0.0,0.0,0.0,0.0,0.010633810534875134,0.1833176054863102
BEST4+ epithelial,0.0,0.0,0.0,0.0,0.0,0.0,0.017144965219581577,0.0,0.0,0.0,0.9828550347804184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branch A,0.0,0.026878592357123275,0.0,0.03164253377189861,0.0,0.0,0.00012304791888308815,0.0,0.9393214497849256,9.861186122274604e-05,0.0011090618198339173,0.0,0.0,0.0,0.0008267024861126843,0.0,0.0,0.0,0.0
Branch B,0.0,0.012000533751273463,0.0,0.0013807411211433013,0.0003536010796307676,0.0,0.0005498240337169245,0.0023730373060426766,0.1229976406064665,0.8475742182192298,3.68901493184887e-05,0.0010969012607846373,0.00031745031391627366,0.00012259681412400263,0.0013869546900156422,0.0,0.0,0.008328528216801379,0.0014810824375361626
CLP,0.0,0.012465031720242237,0.06738728238883043,0.0,0.16217092295422045,0.020000108907237402,0.0,0.17729544041517487,0.0,0.0,0.0,0.04812196912089758,0.010567036845308589,0.436554254977094,0.0,0.0,0.0,0.0,0.06543795267099436
Colonocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.07714246526480065,0.0,0.0008971512521960481,0.0,0.0,0.0,0.0,0.0,0.9170547040613086,5.381006461337956e-05,0.0,0.004851869357081192,0.0
Contractile pericyte (PLN+),0.0,0.0,0.0,0.0015028217415551778,0.005224763674255241,0.0,0.0,0.0,0.00043074655521691636,0.0030840334991504986,0.0,0.0,0.9877007491697332,0.0,0.0,0.0020568853600889557,0.0,0.0,0.0
Differentiating glia,0.09024484234610156,0.01607400330559456,0.030237970915129687,0.0,0.03619071826247123,0.019691649398633413,0.0,0.2381506038118141,0.0,0.0023791407243275203,0.0,0.0,0.0751725852269295,0.12481605170254728,0.06617834354849293,0.04269134228584462,0.10092669298657224,0.022282968835560482,0.13496308664998094
EECs,0.0,0.0,0.0,0.0,0.0784978574605158,0.0,0.07272108062039803,0.24332702721280663,0.0,0.0,0.21240912781303853,0.0,0.0,0.0,0.393044906893241,0.0,0.0,0.0,0.0
ENS Prog/cycling,0.045320438353547765,0.7122210060766312,0.006799789637615018,0.017375967299883454,0.0,0.0,0.0,0.0,0.0,0.13486885433593782,0.0,0.0,0.011879656858054373,0.0,0.0010998989213709307,0.01147648551960726,0.025196225243165803,0.03376167775418626,0.0
Enterocyte,0.0,0.0,0.0,0.0,0.0,0.0002036920237105736,0.7514191002435506,0.0,0.0,0.0,0.24008926926377183,0.0,0.0,0.0,0.0,0.0,0.0,0.000723554304220511,0.007564384164746362
Epithelial progenitors,0.0011717510325785355,0.0,0.0,0.0,0.09112411045231761,0.07056488058787383,0.0,0.5402397410486087,0.0,0.0,0.0,0.015089603987911428,0.010730195081757292,0.07915827300652617,0.04756238422849135,0.0005176494445263494,0.0,0.0,0.14384141112940882
Glia 1 (DHH+),0.001873993179730912,0.0,0.0,0.0,0.0,0.0,8.088700787268105e-05,0.0,0.0,0.0,0.002014011463623033,0.0,0.0,0.00012781996297792905,0.0,0.0072104661219192755,0.9867942431023532,0.0,0.0018985791615229557
Glia 2 (ELN+),0.0,0.0,0.010869159982488828,0.00042688314501942905,0.0,0.03449241720513029,0.0,0.10615230251388644,0.0009704967098522452,0.0043660661902713525,0.05593048595567179,0.01152562815756417,0.032136444837228856,0.08939477949681099,0.26257506351015536,0.010902147140422858,0.02149034391987504,0.007497489162379809,0.35127029207324256
Glia 3 (BCAN+),0.12144104324819416,0.0,0.0,0.0,0.0,0.0,0.0,0.26682090311385864,0.2079696451140013,0.02526887972940861,0.0,0.0,0.07551703989021531,0.041115947777837995,0.0029983386597148094,0.020013625846370352,0.08967997086537904,0.022404156419549077,0.12677044933547074
