,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22
Activated T,0.0,0.0006745402932065457,0.0,0.0,0.0,3.599082773321923e-05,0.0,2.431049390668734e-05,0.0,0.8038228796466752,0.0,0.008102633372030639,0.0,0.0,0.0,0.0,0.0,0.0,0.0007804333576495622,0.0,0.011959881838963722,0.15255710906165432,0.02204222110818016
Arterial ECs,0.0,0.002116458979749852,0.0,0.0,0.0,0.0,0.00023536075235587446,0.0,0.003437255392201322,0.0,0.0,0.0,0.0,0.0,0.007347650963730877,0.1770848365346539,0.0,0.0,0.001417128381598646,0.0,0.8083613089957095,0.0,0.0
BEST4+ epithelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4412388720278356,0.0,0.0,0.0,0.0,0.5369519439270877,0.0,0.0,0.0,0.0,0.010483774900337691,0.004748819403812902,0.006576589740926229,0.0
Branch A,0.06425140473834737,0.0,0.36667956331652296,0.0,0.0,0.5328183527597783,0.0,0.012441645922849737,0.0006782617921828372,0.0011443050304613448,0.0,0.0002531184210863169,0.0,0.0,0.000315540164332879,0.0,0.0,0.0,0.021417807854438104,0.0,0.0,0.0,0.0
Branch B,0.03678270323869743,0.0,0.8812236140093133,0.0,0.0,0.04141034787054982,0.0,0.017214803796811798,0.0011292327771268429,0.000331629721186279,0.0,0.0009951031581456537,0.0,0.0,0.0,0.0,0.0,0.0,0.019693228542843097,0.00015803309655256124,0.0,0.0010613037887730395,0.0
CLP,0.010938617790488374,0.025436415809534825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043150082292874176,0.17595717087594084,0.12276325435126971,0.0638528439074658,0.0,0.011874765155540545,0.0,0.009083056506765231,0.0,0.0,0.053585509373983306,0.07574706483072961,0.40761121910540754
Colonocyte,0.0,0.0,0.0,0.0,0.00042972801790840896,0.0023065672501844992,0.0,0.0007889080184756228,0.9286318016926765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067204405225103365,0.016617806186198722,0.044504748312046066,0.0,0.0,0.0
Contractile pericyte (PLN+),0.0,0.0003110357888521106,0.0,0.0,0.0,0.0,0.0,0.0,6.600094166798879e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9984536094251185,0.0,0.00012311679750493638,0.0,7.853262160988786e-05,0.0,0.0,0.000967704425246656
Differentiating glia,0.014476840173737706,0.0012813365412596845,0.00232340295620213,0.07157906318682533,0.06506942403433774,0.0,0.07236720113306963,0.0,0.003474978590391555,0.0,0.15779538106313676,0.19554566578958726,0.022384370720539216,0.0,0.0,0.09938482424299849,0.07458792854798792,0.0,0.02423534081962092,0.0,0.0,0.11379808104899497,0.08169616115131091
EECs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2681056962923212,0.22946087891587127,0.0,0.3356240881043558,0.08136331307352161,0.0,0.04156802211862086,0.0,0.0,0.0,0.0,0.04387800149530918,0.0,0.0,0.0
