,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25,mean_cell_type_factorsfact_26,mean_cell_type_factorsfact_27,mean_cell_type_factorsfact_28,mean_cell_type_factorsfact_29
Activated T,3.894887344572051e-05,0.6687876061408858,0.0,0.0,0.0,0.0,0.021733862471730814,0.23920003044872112,0.0,0.0,0.018421788857789858,0.0003795623848360283,0.0,0.0006756629177190991,8.331201782054416e-05,0.04261350648145558,0.0,0.0,0.0,0.006948116551665759,0.0,0.0,0.0,0.0,4.872301927745155e-05,0.0,0.0,0.0,0.0010688798346522184,0.0
Arterial ECs,0.0,0.0,0.0012763009618266966,0.0015290234065662243,0.7810442482576535,0.0,0.0,0.007512075790355236,0.0,0.0,0.0,0.0,0.03537758812838251,0.1591468539711873,0.0,0.0,0.0,0.0,0.005492602595206681,0.0014242769616412316,0.004193383167239432,0.0,0.0,0.0020231542465163495,5.834861671975276e-05,0.0,0.0,0.0,0.0,0.0009221438967052284
BEST4+ epithelial,0.0,0.13736712085743646,0.0,6.354305969894628e-05,0.0001862022988590761,0.0,0.0024222853947339267,0.8248284532182082,0.0,0.01248494180576045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.500157378154143e-05,0.0,0.02257245179152145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branch A,0.05527566810440612,0.0,0.0,3.61995120090942e-05,0.0,0.0,0.0,0.0002879730395937761,0.0,0.0,0.0,0.005184441624635228,0.0,0.0,0.15302800429634153,0.0,0.0014188058654073998,0.0,0.0,0.0,0.006313097840023404,0.0001273905369600312,0.0,0.0,0.7752393509582381,0.0,0.0029843794197832595,0.0,0.00010468880260206628,0.0
Branch B,0.17793412520827742,0.0,0.0,0.021038065508039546,0.0,0.0,0.00036727813673444914,0.0,0.0018547758304232982,0.0,0.00031812341179726953,0.0022868100384414686,0.0,0.0,0.7704862755709724,0.0008273154293732327,0.0,0.0,0.0,0.0,0.006332628795050166,0.001242341367990706,0.0010547446113902737,0.0,0.01625751609150997,0.0,0.0,0.0,0.0,0.0
CLP,0.0,0.0,0.0,0.000372944971654375,0.024035187882607122,0.0,0.08702312274457362,0.0,0.0,0.0,0.2521034832817297,0.039517522341077915,0.0,0.010323081981000282,0.0009308919696333185,0.0,0.0007000601488611644,0.137979120774754,0.0,0.12572111631414626,0.0,0.028092024652924687,0.0,0.0,0.0,0.0,0.007849389823064329,0.11001724329847391,0.0,0.17533480981549926
Colonocyte,0.0,0.0,0.0,0.0,0.0,0.00010001576350355425,0.0,0.0,0.0,0.08936770891653764,0.0,0.0,0.018089717641246863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033423304731119543,0.0,0.8860209050421239,0.0,0.003079322163475934,0.0,0.0,0.0,0.0,0.0
Contractile pericyte (PLN+),0.0013822747520819034,0.0,0.011501516416666297,0.0015611795489314164,0.0,0.0018476029811645093,0.001392443339357212,0.0,0.0018357377774219094,0.0,0.0010131349043095803,0.0013886765105514808,0.0,0.9683716370529458,0.0001393637534544086,0.0,0.0004807166821394714,0.001757348305715367,0.0,0.0,0.002557632574344317,0.0010044882139910976,0.0002584321987628652,0.0013199944460653215,0.0004741822093853685,0.0,0.0,0.0009822076797840068,0.0,0.0007314306529277458
Differentiating glia,0.0,0.0,0.07602749619959014,0.015109910115409565,0.0,0.0327222206938221,0.12066242260295659,0.0,0.02782143852645037,0.0,0.11466829275076497,0.0030332430338726284,0.026853801317791703,0.052045767618235386,0.0,0.0,0.0,0.28471315199214503,0.0,0.008258413095087666,0.012790780292669729,0.056918843987003656,0.032600977155067185,0.08690917458105214,0.0,0.0,0.005572278504422369,0.0,0.0,0.0432917875336588
EECs,0.0,0.12034637363783919,0.0,0.0,0.0,0.0,0.17272399918910963,0.10312353851416475,0.0,0.09680631451580472,0.0,0.0,0.0,0.0,0.0,0.03564695785356908,0.0,0.0,0.0,0.0708690221210995,0.0,0.0,0.2100250185000462,0.0,0.0,0.0,0.0,0.0,0.19045877566836683,0.0
