,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25,mean_cell_type_factorsfact_26,mean_cell_type_factorsfact_27,mean_cell_type_factorsfact_28,mean_cell_type_factorsfact_29,mean_cell_type_factorsfact_30
Activated T,0.0,0.0,0.0,0.0,0.0,0.23571580713306906,0.017177258255364983,0.0,0.5553132773784915,0.02970861806082282,0.0,0.0,0.0,0.018524419122121844,0.0,0.0,0.0,0.02349922818761362,0.0,0.0,0.0021698709482159823,0.0,0.0,0.0,0.0,0.10547304262807014,3.134692851751277e-05,0.0,0.012387131357712527,0.0,0.0
Arterial ECs,0.0030874707523201347,0.0,0.0036022908755653027,0.0010657352795880538,0.0,0.0,0.0,0.0,0.003941856590267167,0.8544881868547669,0.0,0.08059223309412304,0.0,0.0031841285221154564,0.0,0.0008384623962531638,0.0,0.01567096995906964,0.0,0.0,0.0,0.0029087950300393916,0.0,0.0,0.0,0.0,0.0,0.0,0.0024902402478025297,0.00480470949935441,0.02332492089873482
BEST4+ epithelial,0.0,0.00024180981434755367,0.0,0.0,0.0,0.0,0.0,0.0,0.9316671449377243,0.0,0.0,2.9029178979686587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03307705388251972,0.0,0.0,0.034984962186428915
Branch A,0.00018289011053653504,0.0,0.010711047626411339,0.028733722823413074,0.0038220402373174154,0.00013175208200782575,0.0,0.019084206356155906,0.0003129024606398647,0.0,0.0,0.0,0.0,2.4261518309792177e-05,0.25011924270462105,0.0,0.002301762257724129,0.0008141278130892235,0.0002023509065381541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6835596931032357,0.0,0.0,0.0,0.0
Branch B,0.0004807018068109313,0.0,0.0,0.030914113928969294,0.0021081124763467633,0.0006492172428265756,0.0005720345516110007,0.02364375346071707,0.0,0.0,0.0005255215805560109,3.815898762410297e-05,0.0,0.0010651366128000017,0.8728774432030101,0.0,0.0,0.0,0.00040732665809048186,0.0,0.00035841272531312836,0.0,0.0,0.00011288198899624798,0.0010056202908861084,0.00023880218668057647,0.06447370351475208,2.2791490731014135e-06,0.00044651837960034613,0.0,8.02612553363696e-05
CLP,0.0,0.0,0.0,0.0,0.034353709022596726,0.02558635420104276,0.14053379020715798,0.0,0.0,0.015174797208552882,0.0,0.0049577611318867825,0.0,0.11450908713738318,0.0,0.0,0.015094420901002263,0.0,0.0,0.0,0.10687837245341614,0.0,0.06715247133629143,0.0,0.05827088073470101,0.22956219944713954,0.0,0.0,0.18792615621882922,0.0,0.0
Colonocyte,0.0,0.0,0.0014860968346453293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748561178946518,0.0009037766095010323,0.0,0.0,0.0,0.0,0.0,0.0,0.0045373443128775524,0.07300658931821233,0.0,0.01367072228645217,0.0315393527436599
Contractile pericyte (PLN+),0.019750558674330627,0.0,0.0,0.0042812334384007954,0.002608179292484066,0.0007292712210377531,0.0021617323341004448,0.0024238675135701587,0.0,0.0080434290438217,0.0,0.9145616624277173,0.0010361023111600631,0.00484239559640132,0.0,0.000904285176950243,0.0002865229544663134,0.0027451349259058435,0.0004285534704278854,0.0,0.0,0.0,0.0014061013947083772,0.01728309226866147,0.004294064267735477,0.0028290404494973596,0.0004577448779339151,0.0,0.0016887145231342532,0.007238313837554591,0.0
Differentiating glia,0.11202780832090525,0.0,0.0,0.03338189807548259,0.0,0.03287143493590959,0.09103797507280219,0.0,0.0,0.0,0.0,0.02785643360668911,0.002441683075756775,0.14912387038130687,0.0,0.06367007354522411,0.00017050290704326355,0.0450969743974085,0.007165391800724017,0.01554363810285527,0.014848188688890507,0.0,0.0,0.017035580160377407,0.20427880967940937,0.09111640207575594,0.0,0.0,0.03674124495289633,0.014934034826041729,0.040658055394521116
EECs,0.0,0.3359383263383628,0.0,0.0,0.0,0.003657622868544396,0.0,0.0,0.04385478723923258,0.0,0.0,0.0,0.0,0.34279442597903337,0.0,0.0,0.0,0.01371149350266567,0.10873114565651605,0.0,0.11419423409093685,0.0,0.0,0.0,0.0,0.0,0.0,0.03711796432470822,0.0,0.0,0.0
